feedback_id,customer_id,rating,comments,submitted_at
388,5,4,Average,2022-01-07
6198,5223,4,Bad,2021-12-30
16945,5316,4,Poor,2021-09-20
5679,4870,4,Great,2024-09-21
9943,877,5,Average,2022-07-05
18899,9184,1,,2020-09-03
3471,7028,3,Excellent,2021-06-11
5944,4143,4,,2021-05-12
17814,6967,5,,2024-07-06
8992,7080,3,Poor,2020-02-17
10732,7988,3,Poor,2023-09-10
18751,6800,4,Excellent,2024-06-04
14028,4466,1,,2024-04-13
15632,636,4,Great,2020-06-08
17559,1694,4,Bad,2024-07-26
17830,9875,4,Average,2022-01-28
6340,4753,4,Bad,2021-11-27
18144,8312,3,Bad,2024-12-16
5430,831,4,Excellent,2022-08-29
10510,5178,5,Great,2024-07-31
19856,9562,,Great,2024-06-14
3231,8933,5,Great,2020-06-03
11188,8309,5,Bad,2023-03-07
1612,5950,4,Poor,2021-12-31
581,2839,2,Average,2020-02-25
16501,1151,2,Great,2021-08-10
13213,7561,5,Poor,2020-05-06
6800,1932,4,Excellent,2024-10-12
19010,9205,4,Great,2022-09-05
15835,1665,3,Average,2024-06-01
11638,1082,1,Excellent,2020-01-12
16927,513,2,Average,2022-06-11
5020,7806,5,,2023-01-14
10640,5238,4,,2024-11-23
17382,560,3,Bad,2020-08-09
2518,3673,1,Average,2023-09-03
9080,7405,2,,2021-06-11
6138,3344,1,Bad,2022-11-07
5498,4071,4,Average,2022-10-08
10868,9663,4,,2022-04-12
18847,581,5,Bad,2021-09-02
11506,7005,3,Great,2024-09-23
973,8131,2,Excellent,2023-08-18
18308,3148,1,Excellent,2024-11-21
1718,4250,4,,2020-01-20
14154,1680,4,Bad,2020-12-21
8274,3507,1,,2023-12-21
9144,7254,4,Poor,2020-10-25
16732,2745,4,Poor,2024-08-16
15616,9436,4,Average,2021-01-06
5435,5189,4,,2021-01-29
2108,2142,5,Bad,2023-10-26
6844,6618,2,Excellent,2024-11-08
1922,2480,3,Average,2022-03-12
15086,6485,,Excellent,2024-08-07
5417,9828,3,Bad,2023-03-04
1463,7422,1,Excellent,2020-10-29
16722,9950,5,Great,2022-04-12
11112,4453,3,Average,2022-09-05
8536,5882,2,Bad,2023-10-14
12936,6666,3,Great,2022-09-04
5829,2850,5,Bad,2024-07-23
10362,7391,4,Average,2024-12-08
17909,6906,,Excellent,2023-11-30
5899,2490,1,Average,2022-03-18
1585,9824,,Excellent,2022-11-14
11601,9208,2,Poor,2022-09-25
3077,9541,2,Great,2022-12-23
16291,4612,5,,2024-10-01
10986,2840,1,Excellent,2021-08-15
11758,8528,4,Poor,2024-08-11
7865,5879,4,Great,2020-07-08
16390,9088,2,Bad,2023-04-19
11877,6304,3,Poor,2023-04-30
4673,852,5,,2023-03-20
15921,1688,4,Poor,2022-05-20
18317,6834,5,Poor,2024-10-27
19426,2428,3,Great,2022-11-10
15277,9761,5,,2024-02-01
6920,4001,5,Poor,2024-10-30
7265,5053,5,Bad,2024-09-23
10406,2739,5,Great,2020-12-21
10586,5733,4,,2024-03-11
4182,5388,2,Average,2021-08-14
828,8003,4,,2021-07-15
19263,5537,4,Poor,2022-05-28
6282,3914,4,Excellent,2021-09-04
3685,1067,4,Great,2022-01-17
17677,7724,2,Great,2021-01-04
1251,4381,1,Poor,2021-01-30
13659,4108,,,2023-05-19
3061,5727,4,Bad,2023-01-07
7206,3374,4,Average,2024-07-27
9429,8946,2,Poor,2022-11-09
18781,2083,3,Great,2024-08-02
4193,8968,4,Great,2021-08-14
10225,6749,5,Bad,2024-05-19
17233,9818,1,Great,2020-11-04
7330,418,4,,2020-02-08
5292,8307,4,Average,2020-06-19
12196,8809,5,Poor,2020-08-10
17291,3975,3,Poor,2023-07-18
15131,3268,3,,2020-09-21
15123,826,5,Excellent,2023-04-24
13078,7669,4,Great,2020-07-24
2466,5746,2,Bad,2020-07-31
9542,9709,4,Poor,2021-08-08
13106,413,3,Excellent,2023-04-20
18828,7544,3,Poor,2022-09-12
19711,7588,4,Excellent,2024-11-17
19563,729,5,Average,2022-10-26
7211,7165,4,,2022-01-19
15355,8868,4,Bad,2022-07-30
14401,5989,4,,2020-10-20
18710,2505,5,Excellent,2021-01-16
19106,2968,3,Average,2022-03-16
9764,2787,3,,2021-10-24
16950,1123,3,Poor,2020-01-07
6778,4080,5,Average,2023-02-19
2919,1572,4,Average,2023-06-10
14533,5074,5,Great,2021-06-01
2068,5105,4,Great,2020-09-04
15182,2144,,Poor,2021-11-07
11965,9880,,,2022-11-26
13003,6807,5,Average,2023-08-13
18538,7358,1,Great,2021-12-25
10607,3441,1,,2020-10-28
19021,3767,4,,2021-06-12
6977,5645,4,,2022-12-22
18478,2915,4,Bad,2020-11-24
18135,4969,1,Excellent,2021-08-12
4554,5918,3,Average,2022-01-09
2383,8788,2,,2022-12-11
19140,729,3,,2021-02-18
19834,1366,5,Average,2023-06-08
12923,4493,1,Poor,2021-05-11
5891,699,4,Bad,2024-01-18
17558,7187,4,,2024-04-29
13177,396,4,Average,2022-11-19
9951,7401,2,Great,2020-10-23
7020,8083,1,Bad,2023-04-01
17889,4172,3,Average,2020-02-12
1873,4361,,Bad,2020-04-20
17754,2503,2,Excellent,2023-12-10
11405,718,3,Bad,2022-07-20
19896,2783,3,,2024-01-25
8502,4947,3,Bad,2021-04-01
18407,5487,4,Average,2023-01-28
14187,8336,2,Poor,2022-12-02
18686,4981,1,Great,2024-10-26
13926,7267,4,Average,2020-06-09
5094,4492,2,Poor,2022-03-10
17798,7193,4,Excellent,2022-04-02
16779,5589,2,Excellent,2020-05-22
6675,7652,1,,2023-09-09
16177,3637,2,,2021-12-27
6906,1168,3,Poor,2021-09-24
13363,1063,5,Bad,2024-08-16
19237,2157,4,Bad,2023-10-17
11917,7861,3,Great,2021-11-30
11839,5162,4,,2021-06-25
1263,5306,5,,2021-09-19
13860,6542,4,Excellent,2023-12-08
13183,4730,5,Average,2020-12-16
6230,9349,3,Poor,2023-06-25
8457,7331,1,Bad,2023-04-27
15653,5335,4,Bad,2020-11-12
16351,8925,4,Poor,2022-08-06
5119,4331,4,Bad,2021-03-21
3029,8011,5,Bad,2023-09-24
6682,6802,4,Bad,2020-08-03
11897,4847,3,Excellent,2022-04-11
199,6732,3,,2020-07-01
985,7242,4,Great,2024-07-20
7567,954,1,Average,2023-11-09
9529,2540,1,Bad,2022-10-04
7024,7057,,,2020-12-15
14946,1543,2,Bad,2023-01-20
8008,5294,4,,2021-11-08
10684,1192,5,Great,2020-08-16
75,6314,5,Average,2023-12-04
8504,6939,5,Average,2022-03-14
19853,2682,2,Bad,2022-05-09
17387,9410,1,Bad,2020-02-05
18483,1541,,,2023-07-29
11899,6173,2,Bad,2020-04-20
3207,5542,4,Bad,2023-02-06
8865,9581,3,,2024-12-25
8374,1366,5,,2024-03-04
5678,8692,,,2022-02-26
99,9873,3,,2024-01-23
9928,8703,3,Average,2021-03-27
12045,7495,4,Poor,2020-06-22
13582,4313,5,Bad,2023-01-20
5448,1325,3,Excellent,2020-05-12
9900,9348,4,Poor,2020-01-04
14856,3142,5,Average,2023-07-10
3678,7420,5,Excellent,2024-08-15
9647,3487,3,,2022-09-16
9765,1811,1,,2022-03-13
8770,6589,4,Excellent,2022-03-24
18628,2924,1,Bad,2021-01-25
924,5302,1,Average,2024-07-22
18026,4187,3,Excellent,2022-12-20
1585,8906,1,Poor,2024-02-14
16615,5978,1,Bad,2021-12-26
2194,4269,2,Average,2023-06-07
2191,4749,2,Bad,2024-08-07
16824,4850,4,Average,2020-07-01
3727,9436,5,Average,2023-10-21
1201,3710,4,Excellent,2021-11-23
2483,9274,5,Great,2021-04-17
17685,6620,1,Average,2022-08-15
5169,8648,5,Great,2023-01-20
13649,9087,4,Bad,2020-05-31
12601,9577,3,Average,2023-10-20
19804,3073,1,Great,2023-08-03
15086,6531,,Bad,2024-09-19
54,505,3,,2020-10-24
3596,1215,1,Excellent,2022-01-23
243,1532,4,Average,2024-01-09
10657,7577,5,Bad,2021-06-22
1183,824,3,Average,2022-11-26
16973,929,1,,2023-09-13
3723,5030,4,,2020-01-06
11151,134,,Poor,2021-10-24
553,2106,2,Bad,2021-04-02
8151,3628,5,Great,2020-12-07
19179,6317,3,Bad,2022-10-19
6088,1853,3,Bad,2020-01-13
5350,4911,5,Average,2022-01-23
4653,4176,4,,2021-05-23
2891,5349,4,Poor,2021-05-15
4579,9443,5,Poor,2023-06-27
5728,6191,4,Poor,2022-09-25
10972,1257,5,Great,2024-09-23
8715,3377,3,,2023-06-12
12108,5646,5,Great,2022-04-26
15278,3487,3,Excellent,2023-05-28
11335,3585,4,Excellent,2022-07-24
19069,9589,3,Bad,2020-04-03
11020,8054,4,Bad,2022-03-30
11487,3331,2,Average,2023-01-15
6440,2704,4,Excellent,2024-05-03
13859,8663,5,Poor,2020-09-03
11299,8121,4,,2020-10-20
13415,7115,5,Great,2022-07-13
6669,1354,4,,2021-04-28
14413,5064,2,,2020-02-20
16407,8550,5,Great,2022-05-05
14127,7576,5,Excellent,2020-12-12
1583,668,5,Average,2024-06-27
17444,4469,3,,2020-06-19
3067,9338,5,Great,2023-10-31
8395,6820,3,Poor,2020-03-27
7200,3720,5,Excellent,2024-05-27
2714,2746,1,Great,2021-02-09
14068,7484,4,Excellent,2022-01-16
5219,540,2,Average,2023-08-03
14180,4965,3,Poor,2023-09-29
12988,4836,,Bad,2024-04-21
7266,3776,4,Poor,2020-03-19
2986,6043,1,,2022-10-13
7837,7103,5,Great,2022-01-29
15359,7313,3,,2024-09-21
12309,5321,4,Poor,2023-12-09
14494,6133,,Bad,2021-04-08
183,7892,4,Poor,2023-07-25
6981,2780,4,Great,2022-06-06
5121,925,4,Excellent,2023-10-15
7040,1582,3,Average,2020-06-14
5229,7715,2,,2020-10-04
404,3325,4,Bad,2023-11-19
13900,5714,1,Average,2023-05-21
657,7027,5,Bad,2022-06-17
14868,256,2,,2024-04-05
19442,4805,4,,2022-03-04
13635,1839,4,Great,2020-08-31
13623,10,5,Bad,2024-02-15
7022,2872,,Excellent,2022-08-16
579,8990,4,Average,2020-02-24
7994,7410,4,Poor,2021-03-27
15966,7419,3,Poor,2020-05-11
19662,5125,4,Great,2020-02-25
6242,1016,4,Poor,2020-03-24
11154,2194,3,Poor,2024-05-11
4513,8416,5,Great,2022-03-20
19741,7450,4,Bad,2022-11-02
5497,4159,5,,2022-11-26
18922,3926,2,Average,2020-06-20
55,6971,3,Poor,2021-11-30
18958,6939,3,Bad,2022-11-07
13952,4785,5,Average,2022-10-26
7264,4001,3,Great,2023-04-26
15283,1634,3,Average,2021-10-15
3302,7267,5,Great,2022-11-29
13772,8703,,Bad,2022-02-14
12192,385,3,Excellent,2020-10-07
18642,405,1,,2024-08-23
17240,8176,4,Excellent,2020-07-31
9041,2001,5,Average,2022-12-08
17284,9861,1,Excellent,2020-06-07
6758,5990,,Poor,2021-09-02
6190,1461,2,Bad,2021-01-20
7026,7191,4,Bad,2020-02-20
11089,7141,1,,2024-06-21
12174,3637,2,Excellent,2021-07-17
2560,4810,4,Bad,2022-05-24
16975,4179,4,Great,2021-05-30
19339,7246,3,,2023-10-22
8342,6601,2,,2023-12-29
5615,5998,3,Great,2020-06-11
10984,2049,,Average,2020-01-06
902,4781,2,,2023-09-20
10850,717,3,Bad,2024-06-27
17527,7940,2,Bad,2020-12-31
16540,5566,5,Excellent,2022-03-07
3339,4545,1,Excellent,2023-09-05
10989,4977,5,Excellent,2022-06-29
19933,3420,3,,2022-02-13
11431,7240,5,,2022-10-30
7643,9767,3,Average,2020-07-03
948,250,5,,2022-04-24
12595,8866,3,Great,2023-02-19
3623,771,5,Great,2021-02-20
13185,4364,1,Bad,2024-12-10
15559,1078,5,Excellent,2022-12-15
2706,8428,5,Bad,2022-09-17
1917,8581,2,,2021-10-30
7864,7902,4,Excellent,2020-09-14
12300,4859,3,Bad,2024-02-12
7139,6545,2,Excellent,2020-04-01
16432,4720,4,Average,2022-11-29
12816,2815,4,,2020-12-22
13499,3375,4,Bad,2020-03-25
3597,1253,2,Average,2023-10-22
11891,6997,5,,2020-12-28
15192,4674,3,Excellent,2022-12-24
11532,4531,4,Average,2020-02-17
16051,6882,5,Excellent,2020-05-24
1599,6950,2,Average,2024-07-17
675,9522,3,Average,2021-03-01
586,6242,4,Excellent,2022-08-17
18128,8018,3,Excellent,2022-06-12
18463,6942,2,Excellent,2024-06-28
12876,9551,,Average,2022-01-29
6737,7003,5,Poor,2021-06-20
12638,1332,4,Poor,2023-07-10
16954,4262,2,Average,2020-07-15
1601,7649,2,Average,2023-08-18
14564,9551,2,Average,2022-09-28
6357,5116,2,Bad,2021-12-12
6283,4638,4,Poor,2023-08-01
7008,4855,2,Average,2021-08-19
4970,3178,1,Excellent,2021-06-20
1936,7731,4,Average,2022-05-08
19094,2181,4,Great,2023-11-30
5046,4893,5,Excellent,2021-10-04
6558,7044,4,Poor,2020-05-21
13724,138,3,Great,2021-09-16
5200,6328,4,Poor,2024-06-22
10896,3473,3,Poor,2020-01-20
16571,5450,4,Great,2024-01-14
10954,2833,4,Poor,2022-02-04
231,3580,4,Poor,2023-02-01
17158,5972,1,Great,2024-01-06
9227,4165,1,Bad,2020-10-29
14324,7942,5,Bad,2023-01-19
4529,5570,4,,2024-11-24
9175,4301,3,Great,2023-06-10
15862,6270,4,Bad,2024-07-02
16854,3819,5,Bad,2021-03-02
15183,1907,3,Average,2023-03-11
9421,6255,4,Great,2023-02-27
12415,761,4,Excellent,2022-06-28
1860,7831,4,Average,2020-10-28
19360,7351,2,Excellent,2020-03-09
18000,6239,1,Bad,2020-09-17
17080,6091,2,Average,2020-06-15
18980,6032,2,Poor,2020-03-20
18916,7688,3,Average,2024-05-04
8506,9092,1,Excellent,2021-07-09
157,9912,4,,2024-11-11
51,8473,4,Average,2023-07-11
8836,1888,3,Poor,2023-12-07
9600,3267,5,Bad,2022-07-25
11981,667,5,,2024-05-14
11098,4189,3,Excellent,2021-02-26
18078,672,4,Average,2023-04-19
12146,6778,3,Great,2021-08-13
15309,7571,4,Poor,2021-09-11
